batch	compound	rt_mean	rt_shift	rt_stdev	sample
2	PGE1	5.07690265486726	-0.00290265486725705	0.0476673676566823	pr01_example_aac_0002
2	PGE3	4.01711009174312	-0.0401100917431196	0.0427536741868227	pr01_example_aac_0002
2	PGE1	5.07690265486726	-0.0129026548672568	0.0476673676566823	pr01_example_aac_140
2	PGE2	4.78757657657658	-0.0385765765765766	0.0342524185077225	pr01_example_aac_140
2	PGE3	4.01711009174312	-0.0471100917431193	0.0427536741868227	pr01_example_aac_140
2	PGE1	5.07690265486726	-0.114902654867257	0.0476673676566823	pr01_example_aac_060
2	PGE2	4.78757657657658	-0.0395765765765761	0.0342524185077225	pr01_example_aac_060
2	PGE3	4.01711009174312	-0.0471100917431193	0.0427536741868227	pr01_example_aac_060
2	PGE1	5.07690265486726	-0.0269026548672571	0.0476673676566823	pr01_example_aac_113
2	PGE2	4.78757657657658	-0.0495765765765759	0.0342524185077225	pr01_example_aac_113
2	PGE3	4.01711009174312	-0.0441100917431192	0.0427536741868227	pr01_example_aac_113
2	PGE1	5.07690265486726	-0.143902654867257	0.0476673676566823	pr01_example_aac_036
2	PGE2	4.78757657657658	-0.0515765765765757	0.0342524185077225	pr01_example_aac_036
2	PGE3	4.01711009174312	-0.0501100917431194	0.0427536741868227	pr01_example_aac_036
2	PGE1	5.07690265486726	-0.0759026548672566	0.0476673676566823	pr01_example_aac_054
2	PGE2	4.78757657657658	-0.0425765765765762	0.0342524185077225	pr01_example_aac_054
2	PGE3	4.01711009174312	-0.0381100917431199	0.0427536741868227	pr01_example_aac_054
2	PGE1	5.07690265486726	-0.0619026548672572	0.0476673676566823	pr01_example_aac_012
2	PGE2	4.78757657657658	-0.0415765765765759	0.0342524185077225	pr01_example_aac_012
2	PGE3	4.01711009174312	-0.0421100917431194	0.0427536741868227	pr01_example_aac_012
2	PGE1	5.07690265486726	-0.0139026548672572	0.0476673676566823	pr01_example_aac_136
2	PGE2	4.78757657657658	-0.0475765765765761	0.0342524185077225	pr01_example_aac_136
2	PGE3	4.01711009174312	-0.0501100917431194	0.0427536741868227	pr01_example_aac_136
2	PGE1	5.07690265486726	-0.0129026548672568	0.0476673676566823	pr01_example_aac_044
2	PGE2	4.78757657657658	-0.0455765765765763	0.0342524185077225	pr01_example_aac_044
2	PGE3	4.01711009174312	-0.0511100917431193	0.0427536741868227	pr01_example_aac_044
2	PGE1	5.07690265486726	-0.0729026548672573	0.0476673676566823	pr01_example_aac_035
2	PGE2	4.78757657657658	-0.0485765765765764	0.0342524185077225	pr01_example_aac_035
2	PGE3	4.01711009174312	-0.0481100917431196	0.0427536741868227	pr01_example_aac_035
2	PGE1	5.07690265486726	-0.0219026548672572	0.0476673676566823	pr01_example_aac_0002
2	PGE2	4.78757657657658	-0.0435765765765765	0.0342524185077225	pr01_example_aac_0002
2	PGE1	5.07690265486726	0.0240973451327431	0.0476673676566823	pr01_example_aac_170
2	PGE2	4.78757657657658	-0.0435765765765765	0.0342524185077225	pr01_example_aac_170
2	PGE3	4.01711009174312	-0.0441100917431192	0.0427536741868227	pr01_example_aac_170
2	PGE1	5.07690265486726	-0.0249026548672573	0.0476673676566823	pr01_example_aac_068
2	PGE2	4.78757657657658	-0.0615765765765763	0.0342524185077225	pr01_example_aac_068
2	PGE3	4.01711009174312	-0.0661100917431194	0.0427536741868227	pr01_example_aac_068
2	PGE1	5.07690265486726	-0.0739026548672568	0.0476673676566823	pr01_example_aac_170
2	PGE2	4.78757657657658	0.228423423423424	0.0342524185077225	pr01_example_aac_170
2	PGE3	4.01711009174312	0.336889908256881	0.0427536741868227	pr01_example_aac_170
2	PGE1	5.07690265486726	0.0350973451327432	0.0476673676566823	pr01_example_aac_068
2	PGE2	4.78757657657658	-0.00157657657657584	0.0342524185077225	pr01_example_aac_068
2	PGE3	4.01711009174312	-0.00611009174311938	0.0427536741868227	pr01_example_aac_068
2	PGE1	5.07690265486726	0.0440973451327435	0.0476673676566823	pr01_example_aac_168
2	PGE2	4.78757657657658	-0.00657657657657573	0.0342524185077225	pr01_example_aac_168
2	PGE3	4.01711009174312	-0.00611009174311938	0.0427536741868227	pr01_example_aac_168
2	PGE1	5.07690265486726	0.0160973451327431	0.0476673676566823	pr01_example_aac_029
2	PGE2	4.78757657657658	-0.00357657657657651	0.0342524185077225	pr01_example_aac_029
2	PGE3	4.01711009174312	-0.00711009174311972	0.0427536741868227	pr01_example_aac_029
2	PGE1	5.07690265486726	0.0190973451327432	0.0476673676566823	pr01_example_aac_128
2	PGE2	4.78757657657658	-0.0115765765765765	0.0342524185077225	pr01_example_aac_128
2	PGE3	4.01711009174312	-0.0161100917431192	0.0427536741868227	pr01_example_aac_128
2	PGE1	5.07690265486726	0.021097345132743	0.0476673676566823	pr01_example_aac_022
2	PGE2	4.78757657657658	-0.012576576576576	0.0342524185077225	pr01_example_aac_022
2	PGE3	4.01711009174312	-0.0171100917431195	0.0427536741868227	pr01_example_aac_022
2	PGE1	5.07690265486726	0.0620973451327425	0.0476673676566823	pr01_example_aac_022
2	PGE2	4.78757657657658	0.0464234234234233	0.0342524185077225	pr01_example_aac_022
2	PGE3	4.01711009174312	0.0648899082568803	0.0427536741868227	pr01_example_aac_022
2	PGE1	5.07690265486726	-0.0549026548672567	0.0476673676566823	pr01_example_aac_074
2	PGE2	4.78757657657658	0.0364234234234235	0.0342524185077225	pr01_example_aac_074
2	PGE3	4.01711009174312	0.0358899082568804	0.0427536741868227	pr01_example_aac_074
2	PGE1	5.07690265486726	0.0670973451327432	0.0476673676566823	pr01_example_aac_185
2	PGE2	4.78757657657658	0.0304234234234242	0.0342524185077225	pr01_example_aac_185
2	PGE3	4.01711009174312	0.0328899082568803	0.0427536741868227	pr01_example_aac_185
2	PGE1	5.07690265486726	-0.0289026548672568	0.0476673676566823	pr01_example_aac_063
2	PGE2	4.78757657657658	0.0354234234234241	0.0342524185077225	pr01_example_aac_063
2	PGE3	4.01711009174312	0.0358899082568804	0.0427536741868227	pr01_example_aac_063
2	PGE1	5.07690265486726	-0.00690265486725661	0.0476673676566823	pr01_example_aac_049
2	PGE2	4.78757657657658	0.0374234234234239	0.0342524185077225	pr01_example_aac_049
2	PGE3	4.01711009174312	0.0348899082568801	0.0427536741868227	pr01_example_aac_049
2	PGE1	5.07690265486726	0.00909734513274341	0.0476673676566823	pr01_example_aac_0002
2	PGE2	4.78757657657658	0.0314234234234236	0.0342524185077225	pr01_example_aac_0002
2	PGE3	4.01711009174312	0.0298899082568802	0.0427536741868227	pr01_example_aac_0002
2	PGE1	5.07690265486726	0.0650973451327435	0.0476673676566823	pr01_example_aac_080
2	PGE2	4.78757657657658	0.0254234234234234	0.0342524185077225	pr01_example_aac_080
2	PGE3	4.01711009174312	0.0278899082568804	0.0427536741868227	pr01_example_aac_080
2	PGE1	5.07690265486726	0.0550973451327437	0.0476673676566823	pr01_example_aac_161
2	PGE2	4.78757657657658	0.0334234234234243	0.0342524185077225	pr01_example_aac_161
2	PGE3	4.01711009174312	0.0288899082568808	0.0427536741868227	pr01_example_aac_161
2	PGE1	5.07690265486726	0.0730973451327435	0.0476673676566823	pr01_example_aac_087
2	PGE2	4.78757657657658	0.032423423423424	0.0342524185077225	pr01_example_aac_087
2	PGE3	4.01711009174312	0.0348899082568801	0.0427536741868227	pr01_example_aac_087
2	PGE1	5.07690265486726	-0.00790265486725694	0.0476673676566823	pr01_example_aac_056
2	PGE2	4.78757657657658	0.024423423423424	0.0342524185077225	pr01_example_aac_056
2	PGE3	4.01711009174312	0.0328899082568803	0.0427536741868227	pr01_example_aac_056
2	PGE1	5.07690265486726	0.00509734513274296	0.0476673676566823	pr01_example_aac_041
2	PGE2	4.78757657657658	0.0274234234234241	0.0342524185077225	pr01_example_aac_041
2	PGE3	4.01711009174312	0.03188990825688	0.0427536741868227	pr01_example_aac_041
2	PGE1	5.07690265486726	0.0630973451327428	0.0476673676566823	pr01_example_aac_177
2	PGE2	4.78757657657658	0.0254234234234234	0.0342524185077225	pr01_example_aac_177
2	PGE3	4.01711009174312	0.0278899082568804	0.0427536741868227	pr01_example_aac_177
2	PGE1	5.07690265486726	0.0600973451327436	0.0476673676566823	pr01_example_aac_121
2	PGE2	4.78757657657658	0.0344234234234237	0.0342524185077225	pr01_example_aac_121
2	PGE3	4.01711009174312	0.0278899082568804	0.0427536741868227	pr01_example_aac_121
2	PGE1	5.07690265486726	0.0710973451327428	0.0476673676566823	pr01_example_aac_188
